description	user	output	target
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.2015918493270874	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.8904095515608788	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.004076600074768066	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.012311160564422607	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0041332244873046875	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.6397857964038849	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9924984984099865	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.999948845772451	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.002354443073272705	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	1	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0014064908027648926	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.018255531787872314	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.00646132230758667	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.008051514625549316	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.03089970350265503	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9999834407735761	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9453248791396618	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	1	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.10452234745025635	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0001685619354248047	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0742996335029602	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9932600939646363	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.4403453469276428	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0029799342155456543	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9094934836030006	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9537961445748806	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9994267301517539	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.01594090461730957	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9951490573585033	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0022746920585632324	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.011106431484222412	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.001438915729522705	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.15670573711395264	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9999757152563689	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.05412113666534424	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.01690131425857544	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9984032131033018	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.07764190435409546	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9872975433245301	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.015937089920043945	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0007167458534240723	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9999888654338065	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9975362373515964	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.02583444118499756	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9577086120843887	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9939066786319017	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.970802191644907	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0028709769248962402	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.20423829555511475	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9999247128871502	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9593494758009911	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9078869596123695	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9506707862019539	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.8859200030565262	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.04103356599807739	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.004664957523345947	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.002886176109313965	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9860059041529894	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9485334306955338	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.011971831321716309	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9855764806270599	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9989730509696528	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.05822664499282837	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9866081280633807	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.1629645824432373	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0007320046424865723	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.021370351314544678	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.02219325304031372	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9996461037371773	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.8621022403240204	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0022774338722229004	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9818178806453943	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.014367222785949707	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9999775250325911	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.34485936164855957	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9877594970166683	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9996156190463807	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.612880676984787	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.005113661289215088	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.01950734853744507	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9998631097987527	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.06705683469772339	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.3273858428001404	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9994533492717892	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.02405095100402832	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.02557891607284546	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.8987106680870056	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9739084783941507	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.20710021257400513	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9990615451824851	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9993691642885096	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.8605210334062576	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.00014984607696533203	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9930704929865897	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.05262601375579834	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.48484915494918823	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.060165345668792725	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.001330256462097168	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9766048863530159	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9859819458797574	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0028734803199768066	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9712834265083075	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.941219687461853	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9966809635516256	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9492704272270203	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.13067978620529175	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.8380041420459747	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9801873005926609	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.005840778350830078	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.002162754535675049	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0014016032218933105	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0003389120101928711	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.41105568408966064	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.006033718585968018	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0005391240119934082	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9939454514533281	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0025560855865478516	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.7722255140542984	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9839972443878651	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.18336808681488037	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.00037026405334472656	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9588280655443668	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.3280394673347473	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9840493146330118	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.1981460452079773	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.2518056631088257	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0016121864318847656	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9999624377014698	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9982049687532708	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.1345340609550476	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.07599866390228271	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.854914128780365	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.297299325466156	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9462884292006493	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9986757517326623	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9997692318138434	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.00251847505569458	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.0016602277755737305	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.06501573324203491	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.060524702072143555	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.1559646725654602	1
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9833869934082031	0
yC._+_FullyC._-_scaledNumbers_=_[5]	1	0.9969196994788945	0
